caseid,track_name,raw_relative_path,raw_byte_count,raw_sha256,checksum_verified
263,Orchestra/RFTN20_RATE,cases/263/rftn20_rate.signal,134703,b0bccddbb91e121907db39bc6d452badfbde673854dd46d8a05a11677b0a0d0c,true
267,BIS/BIS,cases/267/bis.signal,59874,e348772ad540e99345fb6ff6e237023e76b24360d7eb6ad5a2fb1b2049a5b929,true
267,BIS/SQI,cases/267/bis_sqi.signal,60222,49c76999a4954618da032ed247cc2b2b0c6e66f1080bb82a40a70cd741dcd9ef,true
267,Orchestra/PPF20_RATE,cases/267/ppf20_rate.signal,185291,67670bd3cd975b5e27a679ec755db800e75b720b6b1145d962b537d29bcbee58,true
267,Orchestra/RFTN20_RATE,cases/267/rftn20_rate.signal,200507,2c50955c674519568c0f570329a6a53a3db462aec6489894ba935e7ae280be85,true
268,BIS/BIS,cases/268/bis.signal,72869,18bdf1a75b9e11f6e2c951ac74b53b55606fdadd12f535365cbb7e95178000fa,true
268,BIS/SQI,cases/268/bis_sqi.signal,73080,ace407ab93a1f04a9d8e16d2109c91478ee97771a5cdc2e12e9eccee6e1eb654,true
268,Orchestra/PPF20_RATE,cases/268/ppf20_rate.signal,217923,9e5c6184787d150ef3a12e669d4ba888485c16ff7e2565e13b0f6b572ae99db4,true
268,Orchestra/RFTN20_RATE,cases/268/rftn20_rate.signal,236364,243d32b87bbea13d3f5c69b16a1843033966f73c602270fdaee20ddce9e6843a,true
276,BIS/BIS,cases/276/bis.signal,77800,a8e50a377d7b8a41687a503420359b95f51fc6d37d3674533a5f45ca140ebdf8,true
276,BIS/SQI,cases/276/bis_sqi.signal,76650,41cd3732b6048e821de27c95989ab5e0336d23c9caa619a648b023192122a2c0,true
276,Orchestra/PPF20_RATE,cases/276/ppf20_rate.signal,253140,25ade810e15370a3ca7a081281d55d3136ca2c96fc9c39495ec1da3e84b3a662,true
276,Orchestra/RFTN20_RATE,cases/276/rftn20_rate.signal,266778,1f5abcfa343a6466de35ecc4af9b4152cce997d675cc0f775e65666f3e793025,true
285,BIS/BIS,cases/285/bis.signal,68772,b8785ae6b6b38a2438dab9e46ce883bb1ee47ed61be920df75aea351726f3377,true
285,BIS/SQI,cases/285/bis_sqi.signal,68778,522af0f856514dbd8dc0a35bbdb55764a99c5ec4f13bf5bb40cfd3a6d10ec579,true
285,Orchestra/PPF20_RATE,cases/285/ppf20_rate.signal,329668,08368255c1a1ebd08f2418da3807ce4335bbdefc9ac75c87156f041715c8281b,true
285,Orchestra/RFTN20_RATE,cases/285/rftn20_rate.signal,334035,b1d93ad2b118f97f23ceb4fb0620a4a9fd84fc09e469443ef34969d72ded207f,true
286,BIS/BIS,cases/286/bis.signal,164319,6b990ad3f205cca2e788b96eef19f33a039389678d6e1b17625b15366e3962dc,true
286,BIS/SQI,cases/286/bis_sqi.signal,164670,12f6ed6d2d021c7da86ed9cf243375748fb0c1d3b169439f67835335cb0d6811,true
286,Orchestra/PPF20_RATE,cases/286/ppf20_rate.signal,596047,e71f45a3165d5858e7ffd8c237941c17e260ff98390fd9b856d6e056eceddee1,true
286,Orchestra/RFTN20_RATE,cases/286/rftn20_rate.signal,604542,98ea09d85c324c2788fcdfa1ad38236e2452327437ef61b07e5d9bc2d61365ed,true
290,BIS/BIS,cases/290/bis.signal,164667,4f5008c86cbf91bb85c32e73617335e2f36094d504f64ac1def5fd2695519031,true
290,BIS/SQI,cases/290/bis_sqi.signal,163958,bb876391a749f30d42c40b3392221724e9bb31e4ba4dd1fd79e7f7aeb18036e8,true
290,Orchestra/PPF20_RATE,cases/290/ppf20_rate.signal,201594,07abadef16638fcc60a26bbffb055fdeb5c0b207e7847b57a419719aa03de8bc,true
290,Orchestra/RFTN20_RATE,cases/290/rftn20_rate.signal,201182,77a4c8a76d7da503e19ec6dd5378a9aa7f87a9206a2a495826631ae983659487,true
291,BIS/BIS,cases/291/bis.signal,56351,a4799f3cc749e9bc65aee26aa0f4117d6d306e94f441d70b0e4e81dbaf2fddc9,true
291,BIS/SQI,cases/291/bis_sqi.signal,56236,6d8ee8fa0fc85f94113ce1213945a2a6f56a9c1e027ba88382f60b8da854d1c2,true
291,Orchestra/PPF20_RATE,cases/291/ppf20_rate.signal,133730,42c20456a0fda102e2b9d6b2ac3e7b8fca4944c7cf222691fc898bb8cdf8cdb7,true
291,Orchestra/RFTN20_RATE,cases/291/rftn20_rate.signal,138274,cba885738a1b9caaf7cdba65d3894d530260356f675299aeb5e18e890bc51a49,true
293,BIS/BIS,cases/293/bis.signal,154041,af83097efd84ae5d27423713503c2aac860a138517dd176d9203a144a487ccc7,true
293,BIS/SQI,cases/293/bis_sqi.signal,152770,5a58eb93284e27a3bd1ae1f44a9c06ec25221b373bb8f69274b5adddacff2e3f,true
293,Orchestra/PPF20_RATE,cases/293/ppf20_rate.signal,526633,5ee27581a0fadadc1a468439519ecbda023774c77c832696673df6e67c61be32,true
293,Orchestra/RFTN20_RATE,cases/293/rftn20_rate.signal,516873,ebe98a2d25a826d7c19cbbe34d24fa67babf1abb97f567572c9a2799058bcf95,true
295,BIS/BIS,cases/295/bis.signal,157479,2fba61f2626d887a6fab276c8838e6401ab5e8a87839360d143a5a6a9aca0b67,true
295,BIS/SQI,cases/295/bis_sqi.signal,157867,a10b7f37919595b25cc49f50a9e73727c25b80716905f319b46c8ba276769418,true
